ticker,last_close,median_dollar_volume
FINV,4.889999866485596,1900475.0
SNDL,1.2100000381469727,1895167.9576396942
IGR,4.690000057220459,1893155.9085845947
PNNT,3.4800000190734863,1889248.031425476
LDI,1.0399999618530273,1872976.0079741478
TCPC,3.5,1868631.9945335388
WHWK,4.070000171661377,1858975.9494781494
DFDV,2.799999952316284,1850001.9262313843
INO,0.6769999861717224,1818168.0536270142
THRY,2.444999933242798,1776774.513220787
HSLV,4.860000133514404,1769355.057477951
IPSC,1.9600000381469727,1758694.9590921402
NKTX,2.200000047683716,1756862.9759788513
AIRS,4.949999809265137,1747923.9130973816
TMCI,4.78000020980835,1743663.9835357666
RC,1.5399999618530273,1740367.9848194122
ACRE,4.699999809265137,1737119.9295043945
KIDZ,0.4359999895095825,1725221.4176476002
TARA,4.0,1706255.0973892212
VVR,2.9800000190734863,1681280.0216674805
SSP,2.869999885559082,1640314.0052318573
QTRX,3.759999990463257,1639344.031906128
CAN,0.19709999859333038,1638934.952840209
ACH,2.9600000381469727,1631115.9672021866
ORGO,2.369999885559082,1626880.012512207
AUTL,1.899999976158142,1624542.0424461365
BXBL,4.440000057220459,1611844.013786316
IFRX,1.7699999809265137,1606878.046309948
PROK,1.6699999570846558,1605906.0047268867
VWAV,1.2999999523162842,1602440.0472640991
KSCP,1.5700000524520874,1596245.9944844246
SPRO,1.2599999904632568,1588751.9293785095
VLN,1.690000057220459,1584689.98503685
STXS,1.3899999856948853,1583819.9580430984
VOXR,4.929999828338623,1581220.0593948364
RBBN,2.1500000953674316,1576431.9149017334
SMRT,1.2999999523162842,1570452.3782491684
EARN,4.269999980926514,1556347.6465702057
STFS,3.6500000953674316,1554650.0778198242
ELPW,0.14100000262260437,1537250.0
CVGI,3.799999952316284,1531264.0065193176
CNTN,1.899999976158142,1528198.0734825134
GLND,2.25,1528114.0537261963
AMTX,1.5499999523162842,1527354.0320634842
QNC,2.190000057220459,1520475.0
PEPG,1.9800000190734863,1517480.9885144234
AVIR,4.75,1515408.053970337
IKT,2.4000000953674316,1513408.0261230469
TNYA,0.7846999764442444,1503489.5429611206
SRFM,0.8271999955177307,1497852.01638937
CMRC,3.4100000858306885,1482505.510854721
RMNI,4.789999961853027,1481561.9940757751
GALT,3.0899999141693115,1436435.0728988647
TTGT,4.440000057220459,1421784.0109348297
ENGN,1.7999999523162842,1419704.0036201477
LZM,3.950000047683716,1415000.995516777
CDXS,1.4500000476837158,1394379.9488544464
AMCI,4.809999942779541,1392580.027103424
LAB,0.7840999960899353,1390663.9924645424
CPSH,4.349999904632568,1379814.0741348267
GGT,4.150000095367432,1371821.078300476
ALXO,1.9199999570846558,1364984.040260315
SPWR,0.2676999866962433,1357697.5811958313
RPAY,4.0,1351393.9445018768
NIXX,0.534500002861023,1351013.9830470085
VTAK,0.2759999930858612,1347192.0057356358
USDE,2.4600000381469727,1344616.0387516022
PRQR,1.9700000286102295,1319240.021944046
KUST,1.399999976158142,1318386.9801998138
PLX,2.440000057220459,1308762.0629310608
VFF,1.9500000476837158,1304919.9876785278
CPHI,1.2599999904632568,1298309.952378273
GCTK,0.5249999761581421,1289674.1882383823
OSUR,4.150000095367432,1282280.9885978699
BDTX,1.7899999618530273,1267677.972984314
PRLD,4.539999961853027,1267392.9614543915
BCYC,3.9700000286102295,1263952.0183563232
SND,4.179999828338623,1259568.622303009
AIB,1.899999976158142,1256948.0244636536
BJDX,1.2400000095367432,1241779.9642682076
HCAT,2.390000104904175,1241459.98442173
AIAI,4.179999828338623,1241423.959350586
LUCD,1.0,1240056.0492753983
DHY,1.75,1239899.12378788
EMPD,2.8499999046325684,1238239.9625778198
POWW,2.1700000762939453,1229891.9948101044
JELD,1.809999942779541,1222415.9551620483
THM,2.119999885559082,1213170.037150383
CMTG,1.7000000476837158,1209781.2339334488
MMT,4.380000114440918,1202483.0364704132
EXFY,2.0199999809265137,1199363.9807224274
CNDT,1.7200000286102295,1189551.9850730896
COSM,0.21480000019073486,1185217.1973466873
CRMT,3.4100000858306885,1182546.0277318954
HIX,3.930000066757202,1178346.9495534897
SKYX,1.149999976158142,1178059.9755764008
VFS,3.200000047683716,1176384.9816083908
PYPD,4.599999904632568,1176328.0360221863
FF,4.949999809265137,1172170.0191497803
VMAR,0.6644999980926514,1146428.982782364
ELTX,3.190000057220459,1139319.980597496
NMRA,1.6100000143051147,1137359.9644899368
EPM,3.5,1134828.977394104
ASTI,3.240000009536743,1131900.0
EQ,2.190000057220459,1128270.0490951538
PLG,1.4900000095367432,1106375.0
GUTS,0.6850000023841858,1101920.0164198875
NAUT,0.9300000071525574,1094782.0370674133
PEW,2.630000114440918,1088594.9796438217
ELAB,0.9797999858856201,1086014.9506807327
ANVS,1.8700000047683716,1085934.0059518814
API,4.130000114440918,1080030.0197601318
OMH,0.11999999731779099,1078611.2879112363
CIRC,0.6776999831199646,1071832.1913599968
INVZ,0.4011000096797943,1069387.0266377926
COYA,4.550000190734863,1065216.0278320312
TUYA,1.7400000095367432,1064973.9828824997
MIST,1.1449999809265137,1060051.9536972046
CRDL,1.340000033378601,1053514.978158474
CIK,2.440000057220459,1048909.4512939453
ENHA,2.680000066757202,1047335.9933853149
NPWR,1.5199999809265137,1047024.96778965
NNOX,1.0,1029323.1758117676
NCMI,4.090000152587891,1027763.0586624146
ZONE,0.3059999942779541,1027651.1564254761
LCTX,1.1399999856948853,1024596.0407137871
IBIO,1.399999976158142,1020039.9826288223
FHTX,4.880000114440918,987462.0285987854
CRDF,0.9549999833106995,982260.0173473358
ADCT,1.0700000524520874,975880.0075054169
BHR,2.049999952316284,973349.9729633331
WRAP,1.9299999475479126,972593.9804434776
ZBAO,0.22830000519752502,971925.501614809
ACTG,4.539999961853027,967050.0
CING,4.940000057220459,965736.0321044922
CNTX,0.6930000185966492,962805.8172702789
JRVR,4.699999809265137,957958.0277442932
ATLX,2.9700000286102295,952215.017080307
